latitude,longitude,freeboard,segment_length,Thickness (m)
-71.65276577,-40.07221779,0.31,13.334323,1.19
-71.65281948,-40.07224058,0.26,13.30286,1.01
-71.65287476,-40.07226408,0.19,13.359012,0.75
-71.65293481,-40.0722895,0.16,13.443383,0.65
-71.65298514,-40.07231064,0.16,12.751692,0.65
-71.65304304,-40.07233496,0.19,12.764349,0.75
-71.65310576,-40.07236129,0.24,14.198053,0.94
-71.6531696,-40.07238806,0.29,13.49906,1.12
-71.65321459,-40.07240693,0.27,12.089933,1.04
-71.65327131,-40.0724307,0.22,13.527542,0.86
-71.6533306,-40.07245553,0.19,14.254607,0.75
-71.65339392,-40.07248205,0.2,14.254677,0.79
-71.6534584,-40.07250906,0.2,14.263254,0.79
-71.65352365,-40.07253638,0.21,14.26723,0.83
-71.65358517,-40.07256213,0.23,13.562848,0.9
-71.65363904,-40.07258468,0.2,13.565124,0.79
-71.65369734,-40.07260907,0.2,13.567381,0.79
-71.65375404,-40.07263281,0.22,14.278813,0.86
-71.65383104,-40.07266506,0.27,16.420074,1.04
-71.65389796,-40.07269308,0.29,15.70357,1.12
-71.65396693,-40.07272198,0.42,15.6979685,1.59
-71.65403501,-40.07275048,0.45,14.976058,1.7
-71.65409311,-40.07277476,0.41,13.573293,1.55
-71.65414857,-40.07279794,0.44,12.842315,1.66
-71.65419667,-40.07281813,0.48,12.079249,1.81
-71.65424814,-40.07283984,0.52,12.06941,1.95
-71.65430196,-40.07286253,0.42,12.78046,1.59
-71.65436053,-40.07288722,0.29,12.770489,1.12
-71.65441299,-40.07290933,0.25,12.763814,0.97
-71.65447804,-40.07293675,0.26,14.172876,1.01
-71.65454014,-40.07296291,0.28,13.459233,1.08
-71.65459504,-40.07298603,0.28,13.449959,1.08
-71.65465215,-40.07301006,0.27,13.446839,1.04
-71.6547106,-40.07303463,0.28,14.148378,1.08
-71.65477353,-40.07306108,0.32,14.14124,1.23
-71.65483532,-40.07308702,0.36,14.137899,1.37
-71.65490392,-40.07311577,0.36,14.838253,1.37
-71.65496432,-40.07314106,0.34,14.832971,1.3
-71.65503321,-40.07316985,0.36,15.534933,1.37
-71.65509056,-40.07319381,0.46,13.411755,1.73
-71.65514312,-40.07321573,0.47,12.704019,1.77
-71.65520608,-40.07324194,0.47,14.114336,1.77
-71.65527169,-40.0732692,0.4,14.110233,1.52
-71.6553288,-40.07329291,0.3,13.396196,1.15
-71.65538914,-40.07331799,0.26,14.11429,1.01
-71.65545549,-40.07334545,0.24,14.832849,0.94
-71.65551275,-40.07336893,0.22,14.123496,0.86
-71.65557867,-40.07339593,0.21,14.828671,0.83
-71.65564221,-40.07342194,0.19,14.827526,0.75
-71.65570377,-40.07344712,0.19,14.122267,0.75
-71.65576323,-40.07347142,0.22,13.416615,0.86
-71.65581675,-40.0734933,0.27,13.416069,1.04
-71.65587582,-40.07351743,0.34,13.4158125,1.3
-71.65593245,-40.07354056,0.4,14.828969,1.52
-71.65600578,-40.0735705,0.37,14.827505,1.41
-71.65605856,-40.07359205,0.31,14.123317,1.19
-71.65612259,-40.07361822,0.27,13.41685,1.04
-71.65617341,-40.07363899,0.26,12.709181,1.01
-71.65622564,-40.07366036,0.27,12.713566,1.04
-71.65629035,-40.07368686,0.29,14.124755,1.12
-71.65636119,-40.0737159,0.3,14.8278055,1.15
